 epoch      loss_v        runtime(s)
     0    1.675404      4.8222
    10    1.301092      6.6715
    20    0.922958      8.4027
    30    0.568430     10.1278
    40    0.302325     11.8684
    50    0.150542     13.7083
    60    0.113874     15.4058
    70    0.050872     17.1185
    80    0.038884     18.8049
    90    0.021432     20.5164
   100    0.086145     22.2596
   110    0.033875     23.9947
   120    0.020327     25.7226
   130    0.012257     27.4605
   140    0.008306     29.2005
   150    0.006119     30.9008
   160    0.004995     32.6362
   170    0.004128     34.4015
   180    0.157381     36.1494
   190    0.027290     37.9384
   200    0.024865     39.8030
   210    0.012166     41.6170
   220    0.009793     43.4909
   230    0.006928     45.2951
   240    0.005621     47.1124
   250    0.004676     48.8870
   260    0.003958     50.6463
   270    0.003433     52.3720
   280    0.003031     54.1423
   290    0.002654     55.8673
   300    0.002385     57.6316
   310    0.002117     59.3964
   320    0.001883     61.1524
   330    0.001689     62.9269
   340    0.001497     64.7000
   350    0.001422     66.5305
   360    0.177597     68.3702
   370    0.015426     70.1914
   380    0.029809     72.0036
   390    0.011425     73.7913
   400    0.005985     75.6500
   410    0.004367     77.4099
   420    0.003976     79.2024
   430    0.003197     81.0396
   440    0.002800     82.8437
   450    0.002427     84.6290
   460    0.002182     86.3765
   470    0.001957     88.1668
   480    0.001761     89.9038
   490    0.001594     91.6573
