 epoch      loss_v      loss_m        runtime(s)
     0    1.551217        0.003654     16.1649
    10   10.377748        0.000502     17.1889
    20    2.749411        0.000005     18.2466
    30    2.018890        0.000002     19.3052
    40    1.456999        0.000001     20.3848
    50    1.192153        0.000002     21.4626
    60    1.099713        0.000001     22.5029
    70    1.033551        0.000000     23.6343
    80    0.965977        0.000000     24.6653
    90    0.900212        0.000000     25.7553
   100    0.830657        0.000000     26.8706
   110    0.758743        0.000000     27.9027
   120    0.684423        0.000000     28.9609
   130    0.609260        0.000000     30.0658
   140    0.535114        0.000000     31.1455
   150    0.463840        0.000000     32.2218
   160    0.395210        0.000000     33.3217
   170    0.705507        0.000042     34.3686
   180    0.384341        0.000010     35.4086
   190    0.292902        0.000000     36.4513
   200    0.214713        0.000000     37.5115
   210    0.183755        0.000000     38.5783
   220    0.150409        0.000001     39.6660
   230    0.316768        0.000014     40.6510
   240    0.118859        0.000003     41.6746
   250    0.111658        0.000001     42.6763
   260    0.133615        0.000006     43.7465
   270    0.073454        0.000004     44.7856
   280    0.100983        0.000003     45.8144
   290    0.062230        0.000001     46.8085
   300    0.210578        0.000013     47.8672
   310    0.099704        0.000002     48.9601
   320    0.062465        0.000001     50.0030
   330    0.039495        0.000001     51.0654
   340    0.032926        0.000000     52.1039
   350    0.037534        0.000003     53.1559
   360    0.920542        0.000000     54.2306
   370    0.299406        0.000003     55.3025
   380    0.083778        0.000003     56.3527
   390    0.046515        0.000001     57.4443
   400    0.039228        0.000000     58.5747
   410    0.034890        0.000000     59.6309
   420    0.029670        0.000000     60.6623
   430    0.025629        0.000000     61.6947
   440    0.022421        0.000000     62.7537
   450    0.019863        0.000000     63.8042
   460    0.017593        0.000000     64.8520
   470    0.015645        0.000000     65.9410
   480    0.013941        0.000000     67.0053
   490    0.012449        0.000000     68.0566
