 epoch      loss_v   loss_lamB   loss_lamC   loss_lamE        runtime(s)
     0    1.533889    0.000003    0.000798        0.000012     16.3569
    10    4.969866    0.000002    0.000164        0.000001     17.5787
    20    2.359932    0.000003    0.000031        0.000001     18.5705
    30    1.430415    0.000006    0.000010        0.000001     19.7185
    40    1.197196    0.000001    0.000002        0.000001     20.8162
    50    1.075083    0.000002    0.000000        0.000000     21.8660
    60    0.983398    0.000003    0.000000        0.000000     22.9029
    70    0.891611    0.000002    0.000000        0.000000     23.9479
    80    0.794739    0.000002    0.000000        0.000001     25.0105
    90    0.701563    0.000008    0.000000        0.000001     26.0656
   100    0.607497    0.000001    0.000000        0.000001     27.1285
   110    0.517435    0.000017    0.000000        0.000001     28.2775
   120    0.440546    0.000002    0.000003        0.000001     29.4102
   130    0.414442    0.000003    0.000009        0.000001     30.5367
   140    0.307369    0.000005    0.000003        0.000001     31.7532
   150    0.266512    0.000001    0.000001        0.000001     32.8447
   160    0.225286    0.000002    0.000003        0.000000     33.9622
   170    0.241406    0.000004    0.000006        0.000001     35.1434
   180    0.146765    0.000002    0.000003        0.000000     36.1413
   190    0.112849    0.000001    0.000005        0.000000     37.2356
   200    0.160651    0.000001    0.000006        0.000000     38.2987
   210    0.107111    0.000001    0.000001        0.000000     39.3971
   220    0.087913    0.000001    0.000008        0.000000     40.5260
   230    0.110761    0.000001    0.000002        0.000000     41.7875
   240    0.070751    0.000000    0.000000        0.000000     42.8199
   250    0.075934    0.000001    0.000003        0.000000     43.8745
   260    0.054026    0.000001    0.000010        0.000000     47.6523
   270    0.085054    0.000001    0.000005        0.000000     48.6984
   280    0.069348    0.000001    0.000001        0.000000     49.9575
   290    0.042997    0.000001    0.000000        0.000000     51.0290
   300    0.036034    0.000001    0.000000        0.000000     52.0997
   310    0.156279    0.000000    0.000015        0.000000     53.2341
   320    0.057591    0.000001    0.000001        0.000000     54.3008
   330    0.040957    0.000002    0.000003        0.000000     55.3218
   340    0.040211    0.000002    0.000001        0.000000     56.3543
   350    0.034530    0.000000    0.000002        0.000000     57.4289
   360    0.113406    0.000001    0.000001        0.000000     58.5590
   370    0.077781    0.000002    0.000009        0.000000     59.6371
   380    0.033122    0.000001    0.000001        0.000000     60.6861
   390    0.031936    0.000001    0.000001        0.000000     61.6811
   400    0.020309    0.000001    0.000000        0.000000     62.6921
   410    0.017739    0.000000    0.000000        0.000000     63.7582
   420    0.015603    0.000000    0.000000        0.000000     64.9293
   430    0.014337    0.000001    0.000000        0.000000     66.0388
   440    0.013029    0.000001    0.000000        0.000000     67.0585
   450    0.014521    0.000000    0.000000        0.000000     68.1498
   460    0.855411    0.000001    0.000019        0.000000     69.1612
   470    0.185021    0.000001    0.000016        0.000000     70.2258
   480    0.092376    0.000001    0.000003        0.000000     71.3191
   490    0.031618    0.000001    0.000000        0.000000     72.4061
   500    0.014441    0.000000    0.000000        0.000000     73.4140
   510    0.013311    0.000001    0.000000        0.000000     74.5261
   520    0.012521    0.000002    0.000000        0.000000     75.5751
   530    0.011100    0.000003    0.000000        0.000000     76.6544
   540    0.010485    0.000006    0.000000        0.000000     77.6591
   550    0.010520    0.000005    0.000000        0.000000     78.6743
   560    0.042914    0.000003    0.000005        0.000000     79.7321
   570    0.067193    0.000002    0.000028        0.000000     80.7576
   580    0.160492    0.000000    0.000003        0.000000     81.9168
   590    0.051627    0.000001    0.000003        0.000000     83.0170
   600    0.018385    0.000001    0.000001        0.000000     84.0980
   610    0.012308    0.000001    0.000000        0.000000     85.2360
   620    0.010742    0.000000    0.000000        0.000000     86.3444
   630    0.009579    0.000003    0.000000        0.000000     87.4694
   640    0.008704    0.000007    0.000000        0.000000     88.7102
   650    0.008061    0.000006    0.000000        0.000000     90.0589
